run_id,dataset,modality,task,model,seed,task_type,metric,value,ci95_low,ci95_high,sample_count
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),0,binary_classification,Macro-F1,0.8504208935894668,0.7658256626788645,0.9215086646279307,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),0,binary_classification,Balanced Accuracy,0.8200000000000001,0.7249305555555555,0.9,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),0,binary_classification,AUROC,0.9753846153846154,0.9207739179156744,1.0,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),0,binary_classification,AUPRC,0.9775438596491227,0.9186111847583948,1.0,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),0,binary_classification,ECE,0.331910756898777,0.26688429666104957,0.3839749740632529,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),0,binary_classification,Brier Score,0.20608769235096816,0.19878294454155748,0.21280303140680115,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),1,binary_classification,Macro-F1,0.8504208935894668,0.7658256626788645,0.9215086646279307,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),1,binary_classification,Balanced Accuracy,0.8200000000000001,0.7249305555555555,0.9,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),1,binary_classification,AUROC,0.9753846153846154,0.9207739179156744,1.0,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),1,binary_classification,AUPRC,0.9775438596491227,0.9186111847583948,1.0,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),1,binary_classification,ECE,0.331910756898777,0.26688429666104957,0.3839749740632529,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),1,binary_classification,Brier Score,0.20608769235096816,0.19878294454155748,0.21280303140680115,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),2,binary_classification,Macro-F1,0.8504208935894668,0.7658256626788645,0.9215086646279307,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),2,binary_classification,Balanced Accuracy,0.8200000000000001,0.7249305555555555,0.9,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),2,binary_classification,AUROC,0.9753846153846154,0.9207739179156744,1.0,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),2,binary_classification,AUPRC,0.9775438596491227,0.9186111847583948,1.0,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),2,binary_classification,ECE,0.331910756898777,0.26688429666104957,0.3839749740632529,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),2,binary_classification,Brier Score,0.20608769235096816,0.19878294454155748,0.21280303140680115,77
cmdc_protocol_all_questions_binary_tfidf_logistic,CMDC,Text,MDD classification,TF-IDF + Logistic (all_questions),3,binary_classification,Macro-F1,0.8504208935894668,0.7658256626788645,0.9215086646279307,77
