run_id,dataset,modality,task,model,task_type,group_type,group_value,metric,mean,std,ci95_low,ci95_high,seed_count,sample_count_mean,subject_count_mean,ci_scope
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,age_group,young,True Label Probability,0.46563434502237155,0.01689655427533387,,,5,88.0,88.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,high_or_severe,Accuracy,0.45714285714285713,0.05714285714285714,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,high_or_severe,Brier Score,0.9599061128000168,0.10824789208001098,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,high_or_severe,Calibration Gap,0.48787136154260136,0.060558213324145606,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,high_or_severe,ECE,0.48787136154260136,0.060558213324145516,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,high_or_severe,Macro-F1,0.24888888888888888,0.09777777777777777,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,high_or_severe,Mean Confidence,0.9450142186854584,0.016744991688551147,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,high_or_severe,Ordinal MAE,0.8,0.11428571428571428,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,high_or_severe,Prediction Bias,-0.8,0.11428571428571428,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,high_or_severe,QWK,0.08648648648648649,0.17297297297297298,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,high_or_severe,True Label Probability,0.4754547506385956,0.04890807817422263,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mentioned_unclear,Accuracy,0.4,0.1224744871391589,,,5,4.0,4.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mentioned_unclear,Brier Score,1.0963424560445219,0.06952163897396721,,,5,4.0,4.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mentioned_unclear,Calibration Gap,0.4984833744006963,0.12068360407379476,,,5,4.0,4.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mentioned_unclear,ECE,0.5950080757658489,0.05644684303374947,,,5,4.0,4.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mentioned_unclear,Macro-F1,0.18666666666666665,0.043546484316145384,,,5,4.0,4.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mentioned_unclear,Mean Confidence,0.8984833744006963,0.046675227363965885,,,5,4.0,4.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mentioned_unclear,Ordinal MAE,0.85,0.1224744871391589,,,5,4.0,4.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mentioned_unclear,Prediction Bias,-0.65,0.1224744871391589,,,5,4.0,4.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mentioned_unclear,QWK,-0.1333333333333333,0.16329931618554516,,,5,4.0,4.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mentioned_unclear,True Label Probability,0.38322628011363286,0.05598068266622575,,,5,4.0,4.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mild_or_low,Accuracy,0.4166666666666667,0.052704627669472995,,,5,12.0,12.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mild_or_low,Brier Score,0.9858364773661041,0.0900804369037766,,,5,12.0,12.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mild_or_low,Calibration Gap,0.4494493189367417,0.062048855184796026,,,5,12.0,12.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mild_or_low,ECE,0.468588762309162,0.06614815701510933,,,5,12.0,12.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mild_or_low,Macro-F1,0.2674074074074074,0.05200210386959657,,,5,12.0,12.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mild_or_low,Mean Confidence,0.8661159856034084,0.0240228810484942,,,5,12.0,12.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mild_or_low,Ordinal MAE,0.6833333333333333,0.062360956446232345,,,5,12.0,12.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mild_or_low,Prediction Bias,-0.21666666666666665,0.08498365855987974,,,5,12.0,12.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mild_or_low,QWK,-0.07758532159558691,0.06135141104724635,,,5,12.0,12.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,mild_or_low,True Label Probability,0.41419843536307327,0.040336281713175444,,,5,12.0,12.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,moderate,Accuracy,0.5428571428571428,0.05714285714285714,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,moderate,Brier Score,0.719720241181834,0.094497690543256,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,moderate,Calibration Gap,0.3514788557901845,0.05200519706610148,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,moderate,ECE,0.35147885579018445,0.05200519706610142,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,moderate,Macro-F1,0.28242424242424236,0.06809489408576067,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,moderate,Mean Confidence,0.8943359986473274,0.03218589469363855,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,moderate,Ordinal MAE,0.8285714285714285,0.10690449676496974,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,moderate,Prediction Bias,-0.3142857142857142,0.10690449676496974,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,moderate,QWK,-0.2239412562854179,0.0782379926308452,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,moderate,True Label Probability,0.5581925525482897,0.04178418890702053,,,5,7.0,7.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,none,Accuracy,0.6235294117647059,0.019211684257123007,,,5,51.0,51.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,none,Brier Score,0.6229997354842536,0.047532381347723765,,,5,51.0,51.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,none,Calibration Gap,0.25343225096439925,0.028542376182793216,,,5,51.0,51.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,none,ECE,0.2639923055429807,0.03463410885849346,,,5,51.0,51.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,none,Macro-F1,0.3450361804086771,0.04526414200726263,,,5,51.0,51.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,none,Mean Confidence,0.8769616627291053,0.01391986466197048,,,5,51.0,51.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,none,Ordinal MAE,0.4901960784313726,0.03281019711898334,,,5,51.0,51.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,none,Prediction Bias,-0.12941176470588237,0.0318589741358273,,,5,51.0,51.0,not_computed_default_lightweight
mpdd_av_severity_early_fusion,MPDD-AVG-2026,Audio+Video,ordinal severity prediction,WavLM audio + ResNet video early fusion Logistic,ordinal_prediction,financial_stress_bin,none,QWK,-0.0009383104449754764,0.09922208634142884,,,5,51.0,51.0,not_computed_default_lightweight
