run_id,group_type,metric,min_group,min_mean,max_group,max_mean,absolute_gap
mpdd_personality_severity_tfidf_logistic_phase3,personality_extraversion_bin,Prediction Bias,unknown,-0.384,mid,0.13061224489795917,0.5146122448979592
mpdd_av_severity_early_fusion,true_severity,Calibration Gap,0,0.1763572095946576,2,0.6898979361277886,0.513540726533131
mpdd_avp_severity_early_fusion_phase3,true_severity,Calibration Gap,0,0.17625686413843816,2,0.6896476863425989,0.5133908222041608
mpdd_avp_shuffled_personality_early_fusion,true_severity,Calibration Gap,0,0.1764836231674169,2,0.6893097655829254,0.5128261424155085
mpdd_avp_shuffled_personality_early_fusion,personality_neuroticism_bin,Prediction Bias,high,-0.49523809523809526,low,0.016129032258064516,0.5113671274961598
mpdd_personality_counterfactual_age_swap,personality_openness_bin,Prediction Bias,low,-0.14285714285714285,unknown,0.36818181818181817,0.511038961038961
mpdd_avp_severity_early_fusion_phase3,personality_neuroticism_bin,Brier Score,unknown,0.5843801562524176,high,1.0898120121826305,0.5054318559302129
mpdd_av_severity_early_fusion,personality_neuroticism_bin,Brier Score,unknown,0.5848698911426676,high,1.090117621473102,0.5052477303304345
mpdd_avp_shuffled_personality_early_fusion,personality_neuroticism_bin,Brier Score,unknown,0.5853787913570377,high,1.0905786328513263,0.5051998414942885
mpdd_av_severity_early_fusion,true_severity,ECE,0,0.19898556406549758,2,0.7038325036155021,0.5048469395500045
mpdd_personality_severity_tfidf_logistic_phase3,financial_stress_bin,QWK,none,-0.01620230793872075,moderate,0.47439859525899913,0.4906009031977199
mpdd_avp_shuffled_personality_early_fusion,financial_stress_bin,Brier Score,none,0.622313505377563,mentioned_unclear,1.0962572363491372,0.47394373097157416
mpdd_av_severity_early_fusion,financial_stress_bin,Brier Score,none,0.6229997354842536,mentioned_unclear,1.0963424560445219,0.47334272056026827
mpdd_avp_severity_early_fusion_phase3,financial_stress_bin,Brier Score,none,0.6217732731028529,mentioned_unclear,1.0933791706439189,0.47160589754106597
mpdd_personality_shuffled_severity_tfidf_logistic,financial_stress_bin,Prediction Bias,high_or_severe,-0.2,none,0.2705882352941177,0.4705882352941177
mpdd_demographics_age_severity_logistic,age_group,Prediction Bias,elder,-0.06666666666666668,young,0.3977272727272727,0.46439393939393936
mpdd_personality_counterfactual_age_swap,personality_extraversion_bin,Prediction Bias,low,-0.22000000000000003,high,0.23846153846153845,0.4584615384615385
