group_type,group_value,target,feature,spearman,abs_spearman,subject_count,ci95_low,ci95_high
age_group,elder,severity_label,channel_03_diff_std,-0.416744993712067,0.416744993712067,87,-0.5742930686584313,-0.18848885280792768
age_group,elder,binary_label,channel_03_diff_std,-0.40951642156650003,0.40951642156650003,87,-0.5922583174988794,-0.24403146081982802
age_group,elder,phq9_total,channel_03_diff_std,-0.39246947524113424,0.39246947524113424,87,-0.5185641315361601,-0.20215387867897502
age_group,elder,severity_label,channel_03_mean_abs_diff,-0.3792251131867636,0.3792251131867636,87,-0.5577471612242026,-0.2039910444548733
age_group,elder,binary_label,channel_03_mean_abs_diff,-0.3722876559695455,0.3722876559695455,87,-0.5870411308211113,-0.09555289104450045
age_group,elder,severity_label,channel_04_mean_abs_diff,-0.3463952177271231,0.3463952177271231,87,-0.4647756287280389,-0.11402494835567677
age_group,elder,binary_label,channel_00_mean_abs_diff,-0.34583563830855146,0.34583563830855146,87,-0.5316526423699044,-0.12136125388320233
age_group,elder,binary_label,channel_04_mean_abs_diff,-0.3448559339507369,0.3448559339507369,87,-0.5213544548043245,-0.13104558732544686
age_group,elder,severity_label,channel_00_mean_abs_diff,-0.3435192834887449,0.3435192834887449,87,-0.5049790595601081,-0.11005108980374603
age_group,elder,severity_label,channel_02_mean_abs_diff,-0.34188221322997575,0.34188221322997575,87,-0.48735982561549573,-0.17789722229932403
age_group,elder,severity_label,channel_04_diff_std,-0.34113004581378453,0.34113004581378453,87,-0.5293394610637321,-0.16134191429810307
age_group,elder,binary_label,channel_04_diff_std,-0.3379980034460347,0.3379980034460347,87,-0.5262423932815357,-0.13790864850537127
age_group,elder,phq9_total,channel_03_mean_abs_diff,-0.3376698077574909,0.3376698077574909,87,-0.5694506628504729,-0.07650807923805955
age_group,elder,binary_label,channel_01_std,-0.3340791860147763,0.3340791860147763,87,-0.5340066525612298,-0.1333964496832167
age_group,elder,phq9_total,channel_05_diff_std,-0.33399080781425616,0.33399080781425616,87,-0.48242524568828093,-0.1662187209137522
age_group,elder,severity_label,channel_00_std,-0.3317500756824587,0.3317500756824587,87,-0.5227365760591937,-0.1022711740567477
age_group,elder,severity_label,channel_01_std,-0.33095366312413854,0.33095366312413854,87,-0.503245445617547,-0.10024514249370979
age_group,elder,phq9_total,channel_05_iqr,-0.32805486526245353,0.32805486526245353,87,-0.4718849490126519,-0.16557876577227273
age_group,elder,binary_label,channel_02_mean_abs_diff,-0.3262415511522596,0.3262415511522596,87,-0.5785676158662267,-0.09579226776400626
age_group,elder,binary_label,channel_00_std,-0.325261846794445,0.325261846794445,87,-0.472194564860859,-0.13203886835573103
age_group,elder,severity_label,channel_02_diff_std,-0.3248920786524799,0.3248920786524799,87,-0.471350583983432,-0.11602006200106424
age_group,elder,severity_label,channel_03_max,-0.3234319889622263,0.3234319889622263,87,-0.4827281148414021,-0.1501596322111453
age_group,elder,phq9_total,channel_04_mean_abs_diff,-0.3230088553652488,0.3230088553652488,87,-0.4777620605214379,-0.15670261410611055
age_group,elder,severity_label,channel_00_rms,-0.3228568021145507,0.3228568021145507,87,-0.5223548959658227,-0.14051808726300322
age_group,elder,phq9_total,channel_00_mean_abs_diff,-0.3176876085645602,0.3176876085645602,87,-0.5082366825664459,-0.12089251364678592
age_group,elder,binary_label,channel_00_rms,-0.31742421193192827,0.31742421193192827,87,-0.4580923971091932,-0.17697665794324835
age_group,elder,phq9_total,channel_04_diff_std,-0.31615545646849985,0.31615545646849985,87,-0.4831362607744312,-0.14965659861210814
age_group,elder,binary_label,channel_03_max,-0.31448509885848447,0.31448509885848447,87,-0.4867400914283233,-0.1936924047823882
age_group,elder,phq9_total,channel_05_mean_abs,-0.3072102571052733,0.3072102571052733,87,-0.49076301821624235,-0.11890107863648447
age_group,elder,binary_label,channel_00_diff_std,-0.3066474639959677,0.3066474639959677,87,-0.4678856063718613,-0.17950045088957264
age_group,elder,phq9_total,channel_05_mean_abs_diff,-0.30635702270447324,0.30635702270447324,87,-0.5026136703602451,-0.13422919336043365
age_group,elder,binary_label,channel_05_mean_abs,-0.3056677596381531,0.3056677596381531,87,-0.478638047544386,-0.11667632135204047
age_group,elder,phq9_total,channel_04_q25,0.3041473387301663,0.3041473387301663,87,0.1367309194210501,0.4785459498351109
age_group,elder,phq9_total,channel_07_mean_abs_diff,-0.30351290803513964,0.30351290803513964,87,-0.48283862897738317,-0.12144818774857444
age_group,elder,phq9_total,channel_02_mean_abs_diff,-0.3028706885936772,0.3028706885936772,87,-0.47625124851635575,-0.1392840808275321
age_group,elder,severity_label,channel_05_diff_std,-0.2990971607913338,0.2990971607913338,87,-0.47701336363985664,-0.08007618992039688
age_group,all,severity_label,channel_00_mean_abs_diff,-0.29532368793729424,0.29532368793729424,175,-0.4015479020854735,-0.1421933058558415
age_group,all,binary_label,channel_00_mean_abs_diff,-0.2817346595318392,0.2817346595318392,175,-0.37739242758619673,-0.10610224642547808
age_group,all,severity_label,channel_00_diff_std,-0.28120957871442,0.28120957871442,175,-0.4215887974454723,-0.17437930586282815
age_group,all,phq9_total,channel_00_mean_abs_diff,-0.2690028964862473,0.2690028964862473,175,-0.3748586006013101,-0.14548498893697215
age_group,all,binary_label,channel_00_diff_std,-0.2676824810923934,0.2676824810923934,175,-0.38839541475331346,-0.1693048021742522
age_group,all,severity_label,channel_00_rms,-0.2665591666200137,0.2665591666200137,175,-0.38020462724522514,-0.11280934186311786
age_group,all,phq9_total,channel_00_diff_std,-0.2612882934581473,0.2612882934581473,175,-0.3927121165278984,-0.08953166675413837
