scope,eval_task,metric,within_mean,cross_mean,drop_mean,drop_std,ci95_low,ci95_high,seed_pair_count
overall,,Macro-F1,0.6467759508257218,0.5297261980079623,0.1170497528177597,0.06477550048095086,-0.03806417352671883,0.2693612716574607,60
overall,,Balanced Accuracy,0.6467391304347826,0.5477886056971514,0.09895052473763116,0.05714386460839257,-0.04437045822694672,0.24370820996015838,60
overall,,AUROC,0.6840329835082457,0.601449275362319,0.08258370814592705,0.08686483459453538,-0.08408830889432978,0.24929209946794545,60
overall,,AUPRC,0.6809747619626131,0.5781570727626136,0.10281768919999965,0.0794106713153374,-0.0791487915179098,0.26771012769388214,60
eval_task,interview,Macro-F1,0.6006144393241168,0.5559714503818363,0.04464298894228066,0.05897464224714524,-0.10134302588428822,0.18984379585552527,15
eval_task,interview,Balanced Accuracy,0.6011994002998501,0.57896051974013,0.022238880559720158,0.03753785498893338,-0.11585492386108862,0.1622293135352404,15
eval_task,interview,AUROC,0.6131934032983508,0.6251874062968518,-0.011994002998500767,0.05059090748563223,-0.18731394553774344,0.15063066485425294,15
eval_task,interview,AUPRC,0.6630068634711905,0.5900902716736106,0.07291659179757974,0.0712213460117102,-0.10541478287859045,0.21876880951156347,15
eval_task,picture_description,Macro-F1,0.6278719397363465,0.4856716886377903,0.14220025109855622,0.0582712201658233,-0.03285974033753314,0.3047836240393053,15
eval_task,picture_description,Balanced Accuracy,0.6274362818590705,0.5024987506246877,0.12493753123438274,0.04570596725044599,-0.035363859108990287,0.283790822289033,15
eval_task,picture_description,AUROC,0.7136431784107947,0.5202398800599701,0.19340329835082462,0.014117388197726672,0.029787977381938106,0.3581340368950976,15
eval_task,picture_description,AUPRC,0.7142323575014119,0.525903719933093,0.1883286375683187,0.01711780592425835,0.020014501990326512,0.3397511066240579,15
eval_task,reading,Macro-F1,0.6343750000000001,0.5070143231143687,0.12736067688563132,0.03698222499563377,-0.021377090962448483,0.2792430481584204,15
eval_task,reading,Balanced Accuracy,0.6356821589205398,0.5294852573713142,0.10619690154922536,0.01740178445425302,-0.029197786796296532,0.2486114021217632,15
eval_task,reading,AUROC,0.631184407796102,0.6046976511744127,0.0264867566216892,0.00616133333630085,-0.1527298655945895,0.20803174066486899,15
eval_task,reading,AUPRC,0.6110636744939815,0.5998931563441711,0.01117051814981033,0.03422042515295201,-0.18147702690048584,0.20907923039967896,15
eval_task,affective_task,Macro-F1,0.7242424242424245,0.5702473298978536,0.15399509434457057,0.034578503762489804,0.003323163077394568,0.303574618576592,15
eval_task,affective_task,Balanced Accuracy,0.7226386806596703,0.5802098950524737,0.14242878560719635,0.027529383276595137,0.0029347368585885725,0.2802013018945969,15
eval_task,affective_task,AUROC,0.778110944527736,0.655672163918041,0.12243878060969508,0.03773692579440849,-0.026097401826924247,0.2803719554575622,15
eval_task,affective_task,AUPRC,0.7355961523838702,0.5967411430995804,0.13885500928428976,0.02799270713779787,-0.04971785828288937,0.30324136424022835,15
