run_id,dataset,modality,task,model,protocol_type,train_task,eval_task,task_type,metric,mean,std,ci95_low,ci95_high,seed_count,sample_count_mean
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,interview,reading,binary_classification,AUROC,0.6116941529235382,0.0,0.43907575757575756,0.7660056638347493,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,picture_description,affective_task,binary_classification,AUROC,0.6401799100449775,0.0,0.46762499432102134,0.792198480702765,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,picture_description,interview,binary_classification,AUROC,0.6821589205397302,0.0,0.5306607113110111,0.8188959426536732,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,task_specific,picture_description,picture_description,binary_classification,AUROC,0.7136431784107946,0.0,0.5845699419197964,0.8453515625,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,picture_description,reading,binary_classification,AUROC,0.6056971514242878,0.0,0.44437799043062204,0.7426296296296298,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,reading,affective_task,binary_classification,AUROC,0.7076461769115442,0.0,0.5635024170958707,0.8372439236111111,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,reading,interview,binary_classification,AUROC,0.5592203898050975,0.0,0.3916282642089094,0.709541791604198,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,reading,picture_description,binary_classification,AUROC,0.5142428785607196,0.0,0.35453367003367003,0.6739685457516341,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,task_specific,reading,reading,binary_classification,AUROC,0.631184407796102,0.0,0.4428358585858586,0.7573640552995392,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,task_specific,affective_task,affective_task,binary_classification,Balanced Accuracy,0.7226386806596702,0.0,0.5850149234138691,0.8396316964285715,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,affective_task,interview,binary_classification,Balanced Accuracy,0.6319340329835083,0.0,0.5048483822604827,0.7691320903361346,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,affective_task,picture_description,binary_classification,Balanced Accuracy,0.47676161919040483,0.0,0.3269230769230769,0.6023356374807988,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,affective_task,reading,binary_classification,Balanced Accuracy,0.5232383808095952,0.0,0.4093333333333334,0.6459374999999999,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,interview,affective_task,binary_classification,Balanced Accuracy,0.5674662668665668,0.0,0.45544238249538826,0.7054911269855269,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,task_specific,interview,interview,binary_classification,Balanced Accuracy,0.6011994002998501,0.0,0.4614772727272728,0.7183124062968516,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,interview,picture_description,binary_classification,Balanced Accuracy,0.4640179910044978,5.551115123125783e-17,0.34951221113445374,0.5932330659536542,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,interview,reading,binary_classification,Balanced Accuracy,0.553223388305847,0.0,0.43018293534422564,0.6492146426786607,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,picture_description,affective_task,binary_classification,Balanced Accuracy,0.5547226386806596,0.0,0.4201086956521739,0.6918906380143263,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,picture_description,interview,binary_classification,Balanced Accuracy,0.5554722638680659,0.0,0.4522433035714285,0.6428968253968254,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,task_specific,picture_description,picture_description,binary_classification,Balanced Accuracy,0.6274362818590704,0.0,0.5,0.7489036731634182,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,picture_description,reading,binary_classification,Balanced Accuracy,0.5119940029985007,0.0,0.4075579322638146,0.6403976608187134,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,reading,affective_task,binary_classification,Balanced Accuracy,0.618440779610195,0.0,0.4968232323232324,0.7531956845238096,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,reading,interview,binary_classification,Balanced Accuracy,0.5494752623688156,0.0,0.3985681533378902,0.6765763888888889,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,cross_task,reading,picture_description,binary_classification,Balanced Accuracy,0.5667166416791605,0.0,0.4327195472783708,0.7009365852787892,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,task_specific,reading,reading,binary_classification,Balanced Accuracy,0.6356821589205397,0.0,0.49981060606060607,0.7468787202380952,5,52.0
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,task_specific,affective_task,affective_task,binary_classification,Macro-F1,0.7242424242424244,0.0,0.574275412087912,0.8427738927738929,5,52.0
