seed,train_task,eval_task,metric,within_value,cross_value,drop,drop_ci95_low,drop_ci95_high
0,interview,affective_task,AUPRC,0.7355961523838702,0.563724422285724,0.17187173009814627,0.01718776621732377,0.3060244819205368
1,interview,affective_task,AUPRC,0.7355961523838702,0.563724422285724,0.17187173009814627,-0.0030799336996703143,0.2985992514422412
2,interview,affective_task,AUPRC,0.7355961523838702,0.563724422285724,0.17187173009814627,0.004873053697116051,0.2907762588935015
3,interview,affective_task,AUPRC,0.7355961523838702,0.563724422285724,0.17187173009814627,-0.0022320511190634814,0.3322341746541203
4,interview,affective_task,AUPRC,0.7355961523838702,0.563724422285724,0.17187173009814627,0.02381634704329607,0.3309732694213961
0,picture_description,affective_task,AUPRC,0.7355961523838702,0.5943336480043468,0.14126250437952337,-0.09565841150537217,0.30580435317988935
1,picture_description,affective_task,AUPRC,0.7355961523838702,0.5943336480043468,0.14126250437952337,-0.11278701205449163,0.3155689584018026
2,picture_description,affective_task,AUPRC,0.7355961523838702,0.5943336480043468,0.14126250437952337,-0.06582192285094338,0.3061013479952197
3,picture_description,affective_task,AUPRC,0.7355961523838702,0.5943336480043468,0.14126250437952337,-0.08705856635972847,0.3382561367444009
4,picture_description,affective_task,AUPRC,0.7355961523838702,0.5943336480043468,0.14126250437952337,-0.06821162746140516,0.33973987705111913
0,reading,affective_task,AUPRC,0.7355961523838702,0.6321653590086707,0.10343079337519956,-0.0743157556346677,0.2608730061836891
1,reading,affective_task,AUPRC,0.7355961523838702,0.6321653590086707,0.10343079337519956,-0.06693488712471515,0.28039441568116824
2,reading,affective_task,AUPRC,0.7355961523838702,0.6321653590086707,0.10343079337519956,-0.08995148169180711,0.26143953684184557
3,reading,affective_task,AUPRC,0.7355961523838702,0.6321653590086707,0.10343079337519956,-0.07405470376340038,0.2858686204808364
4,reading,affective_task,AUPRC,0.7355961523838702,0.6321653590086707,0.10343079337519956,-0.05153868793581151,0.2959667747116588
0,affective_task,interview,AUPRC,0.6630068634711903,0.5702177531168571,0.09278911035433324,-0.12365415302490458,0.24556334983878594
1,affective_task,interview,AUPRC,0.6630068634711903,0.5702177531168571,0.09278911035433324,-0.09140448889980314,0.2334383109917703
2,affective_task,interview,AUPRC,0.6630068634711903,0.5702177531168571,0.09278911035433324,-0.10501222385905262,0.25540347124236984
3,affective_task,interview,AUPRC,0.6630068634711903,0.5702177531168571,0.09278911035433324,-0.1303581135834793,0.2243469173772701
4,affective_task,interview,AUPRC,0.6630068634711903,0.5702177531168571,0.09278911035433324,-0.07657758622798282,0.23985898087356514
0,picture_description,interview,AUPRC,0.6630068634711903,0.6855398775491018,-0.02253301407791153,-0.16945377019829516,0.10140032788040512
1,picture_description,interview,AUPRC,0.6630068634711903,0.6855398775491018,-0.02253301407791153,-0.17207374639458095,0.10815138556546401
2,picture_description,interview,AUPRC,0.6630068634711903,0.6855398775491018,-0.02253301407791153,-0.20573671968278917,0.1308510472358308
3,picture_description,interview,AUPRC,0.6630068634711903,0.6855398775491018,-0.02253301407791153,-0.15531697351493357,0.12821009214320495
4,picture_description,interview,AUPRC,0.6630068634711903,0.6855398775491018,-0.02253301407791153,-0.1722976433470229,0.14444990106203406
0,reading,interview,AUPRC,0.6630068634711903,0.5145131843548728,0.1484936791163175,-0.043689087250864005,0.3005523336243202
1,reading,interview,AUPRC,0.6630068634711903,0.5145131843548728,0.1484936791163175,-0.059867101617324094,0.27996967229938685
2,reading,interview,AUPRC,0.6630068634711903,0.5145131843548728,0.1484936791163175,-0.0279695769308012,0.3076175047511865
3,reading,interview,AUPRC,0.6630068634711903,0.5145131843548728,0.1484936791163175,-0.004657049740402984,0.3026083400363107
