metric,mean,ci95_low,ci95_high,subject_count,subject_seed_count
healthy_negative_mean_score,0.1426031644328509,0.08045336867163215,0.21545500779077678,68,340
healthy_negative_minus_nonnegative_mean,-0.061078521318583615,-0.12429305144281677,0.0021236154879047788,68,340
healthy_negative_highest_rate,0.27941176470588236,0.17647058823529413,0.39705882352941174,68,340
healthy_negative_predicted_depressed_rate,0.11764705882352941,0.04411764705882353,0.20625000000000007,68,340
healthy_nonnegative_predicted_depressed_rate,0.20588235294117646,0.13216911764705883,0.29411764705882354,68,340
