run_id,dataset,modality,task,model,seed,protocol_type,train_task,eval_task,task_type,metric,value,ci95_low,ci95_high,sample_count
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,4,cross_task,affective_task,interview,binary_classification,ECE,0.2935426108817616,0.18862107721441684,0.4296590595590396,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,4,cross_task,affective_task,interview,binary_classification,Brier Score,0.30755173686472853,0.19867323993392594,0.4055763299300502,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,affective_task,picture_description,binary_classification,Macro-F1,0.45833333333333337,0.3035714285714286,0.5948051948051949,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,affective_task,picture_description,binary_classification,Balanced Accuracy,0.47676161919040483,0.3269230769230769,0.6023356374807988,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,affective_task,picture_description,binary_classification,AUROC,0.5397301349325337,0.3624116161616162,0.6800116543290855,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,affective_task,picture_description,binary_classification,AUPRC,0.5173403326935024,0.348310685299694,0.7212209493811021,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,affective_task,picture_description,binary_classification,ECE,0.43852283055958174,0.3302981067519003,0.5704941204320024,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,0,cross_task,affective_task,picture_description,binary_classification,Brier Score,0.4194112237659926,0.31378085582458226,0.5313878634728247,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,affective_task,picture_description,binary_classification,Macro-F1,0.45833333333333337,0.3035714285714286,0.5948051948051949,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,affective_task,picture_description,binary_classification,Balanced Accuracy,0.47676161919040483,0.3269230769230769,0.6023356374807988,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,affective_task,picture_description,binary_classification,AUROC,0.5397301349325337,0.3624116161616162,0.6800116543290855,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,affective_task,picture_description,binary_classification,AUPRC,0.5173403326935024,0.348310685299694,0.7212209493811021,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,affective_task,picture_description,binary_classification,ECE,0.43852283055958174,0.3302981067519003,0.5704941204320024,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,1,cross_task,affective_task,picture_description,binary_classification,Brier Score,0.4194112237659926,0.31378085582458226,0.5313878634728247,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,2,cross_task,affective_task,picture_description,binary_classification,Macro-F1,0.45833333333333337,0.3035714285714286,0.5948051948051949,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,2,cross_task,affective_task,picture_description,binary_classification,Balanced Accuracy,0.47676161919040483,0.3269230769230769,0.6023356374807988,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,2,cross_task,affective_task,picture_description,binary_classification,AUROC,0.5397301349325337,0.3624116161616162,0.6800116543290855,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,2,cross_task,affective_task,picture_description,binary_classification,AUPRC,0.5173403326935024,0.348310685299694,0.7212209493811021,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,2,cross_task,affective_task,picture_description,binary_classification,ECE,0.43852283055958174,0.3302981067519003,0.5704941204320024,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,2,cross_task,affective_task,picture_description,binary_classification,Brier Score,0.4194112237659926,0.31378085582458226,0.5313878634728247,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,3,cross_task,affective_task,picture_description,binary_classification,Macro-F1,0.45833333333333337,0.3035714285714286,0.5948051948051949,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,3,cross_task,affective_task,picture_description,binary_classification,Balanced Accuracy,0.47676161919040483,0.3269230769230769,0.6023356374807988,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,3,cross_task,affective_task,picture_description,binary_classification,AUROC,0.5397301349325337,0.3624116161616162,0.6800116543290855,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,3,cross_task,affective_task,picture_description,binary_classification,AUPRC,0.5173403326935024,0.348310685299694,0.7212209493811021,52
modma_binary_egemaps_task_transfer,MODMA,Audio,task-transfer binary depression classification,eGeMAPS + fixed logistic regression,3,cross_task,affective_task,picture_description,binary_classification,ECE,0.43852283055958174,0.3302981067519003,0.5704941204320024,52
