probe_id,target_name,target_column,row_grain,feature_family,feature_space,comparable_basis,n_rows,n_groups,n_classes,n_features_common,n_splits,classes,class_counts,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,majority_class_accuracy,source_cache_names
dataset_id_audio_wavlm_6way,dataset identity,dataset_id,subject,audio,wavlm,same frozen WavLM subject embedding columns across six datasets,784,784,6,768,5,CMDC;E-DAIC;EATD;MODMA;MPDD;PDCH,"{""CMDC"": 77, ""E-DAIC"": 219, ""EATD"": 162, ""MODMA"": 52, ""MPDD"": 175, ""PDCH"": 99}",0.9897959183673469,0.9821428571428571,0.9961734693877551,0.988148743995286,0.9784051418516225,0.9952643221188948,0.989669651336318,0.980488043957304,0.9964366515837104,0.27933673469387754,edaic_audio_frozen_encoders/wavlm_subject_features.csv;cmdc_audio_frozen_encoders/cmdc_wavlm_subject_features.csv;pdch_audio_wavlm/pdch_wavlm_subject_features.csv;eatd_audio_wavlm/eatd_wavlm_subject_features.csv;modma_audio_wavlm/modma_wavlm_subject_features.csv;mpdd_audio_wavlm/mpdd_wavlm_subject_features.csv
dataset_id_audio_wav2vec2_3way,dataset identity,dataset_id,subject,audio,wav2vec2,"same frozen wav2vec2 subject embedding columns for E-DAIC, CMDC, and MODMA",348,348,3,768,5,CMDC;E-DAIC;MODMA,"{""CMDC"": 77, ""E-DAIC"": 219, ""MODMA"": 52}",0.9971264367816092,0.9913793103448276,1.0,0.9960044526026347,0.9868041932148447,1.0,0.9935897435897436,0.9791666666666666,1.0,0.6293103448275862,edaic_audio_frozen_encoders/wav2vec2_subject_features.csv;cmdc_audio_frozen_encoders/cmdc_wav2vec2_subject_features.csv;modma_audio_wav2vec2/modma_wav2vec2_subject_features.csv
dataset_id_audio_egemaps_cmdc_pdch_modma,dataset identity,dataset_id,subject,audio,egemaps,"intersection of cached subject-level eGeMAPSv02 functional-statistic columns for CMDC, PDCH, and MODMA",228,228,3,352,5,CMDC;MODMA;PDCH,"{""CMDC"": 77, ""MODMA"": 52, ""PDCH"": 99}",0.9912280701754386,0.9780701754385965,1.0,0.9892607392607392,0.972744941604237,1.0,0.9892607392607392,0.9728222813038134,1.0,0.4342105263157895,cmdc_pdch_audio_egemaps/cmdc_egemaps_subject_features.csv;cmdc_pdch_audio_egemaps/pdch_egemaps_subject_features.csv;modma_audio_egemaps/modma_egemaps_subject_features.csv
dataset_id_text_bge_cmdc_pdch,dataset identity,dataset_id,subject,text,bge-small-zh-v1.5,same Chinese BGE frozen text embedding for CMDC and PDCH,176,176,2,512,5,CMDC;PDCH,"{""CMDC"": 77, ""PDCH"": 99}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5625,cmdc_pdch_text_encoder_mlp/cmdc_bge_subject_features.csv;cmdc_pdch_text_encoder_mlp/pdch_bge_subject_features.csv
dataset_id_video_openface_edaic_cmdc_common,dataset identity,dataset_id,subject,video,openface_stats,intersection of semantic OpenFace statistic columns for E-DAIC and CMDC,263,263,2,204,5,CMDC;E-DAIC,"{""CMDC"": 44, ""E-DAIC"": 219}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8326996197718631,edaic_video_features/edaic_openface_subject_features.csv;cmdc_video_features/openface_statistics_subject_features.csv
protocol_modma_task_type_wavlm,MODMA task type,task_type,subject_task,audio,wavlm_subject_task,same WavLM subject-task feature space within MODMA; grouped by subject,208,52,4,768,5,affective_task;interview;picture_description;reading,"{""affective_task"": 52, ""interview"": 52, ""picture_description"": 52, ""reading"": 52}",0.8413461538461539,0.7884615384615384,0.8846153846153846,0.8429752663264564,0.7916443083412794,0.8854677551894179,0.8413461538461539,0.7884615384615385,0.8846153846153846,0.25,modma_audio_wavlm/modma_wavlm_subject_task_features.csv
protocol_eatd_valence_wavlm,EATD valence,valence,subject_valence,audio,wavlm_segment_valence,same WavLM segment embedding feature space within EATD; grouped by subject,486,162,3,768,5,negative;neutral;positive,"{""negative"": 162, ""neutral"": 162, ""positive"": 162}",0.5534979423868313,0.5122942386831276,0.5946502057613169,0.5539606393768005,0.5120426941858579,0.5941803017878357,0.5534979423868313,0.5122942386831275,0.5946502057613169,0.3333333333333333,eatd_audio_wavlm/eatd_wavlm_segment_embeddings.csv
